invoice_id,supplier,country,invoice_date,due_date,payment_date,invoice_amount,currency,department,po_number,invoice_status,payment_method
INV-000001,Baku Tech Services,Azerbaijan,2024-01-30,2024-03-30,2024-04-27,1345.43,USD,Human Resources,PO-1270,Paid,Bank Transfer
INV-000002,Caspian Office Supplies,Azerbaijan,2026-01-20,2026-03-21,2026-04-25,322.44,USD,Operations,PO-1443,Paid,Bank Transfer
INV-000003,Euro Energy Solutions,Germany,2026-02-23,2026-04-24,2026-04-09,2739.54,EUR,IT,PO-1034,Paid,Bank Transfer
INV-000004,Caucasus Travel Services,Georgia,2025-12-11,2026-01-25,2026-02-23,2040.25,AZN,HSE,PO-1884,Paid,Bank Transfer
INV-000005,Dijon Business Travel,France,2025-11-10,2025-11-25,2025-12-28,464.37,AZN,Operations,PO-1770,Paid,Bank Transfer
INV-000006,Silk Road Consulting,Kazakhstan,2026-02-08,2026-03-25,2026-03-30,1634.87,USD,Operations,PO-1401,Paid,Corporate Card
INV-000007,Euro Energy Solutions,Germany,2024-12-06,2024-12-21,,1762.26,USD,Procurement,PO-1782,Outstanding,Bank Transfer
INV-000008,Silk Road Consulting,Kazakhstan,2026-06-16,2026-07-01,2026-06-30,1091.95,AZN,Operations,PO-1549,Paid,Bank Transfer
INV-000009,Atlas Logistics,Türkiye,2024-10-16,2024-11-30,2024-11-21,2069.5,EUR,IT,PO-1282,Paid,Bank Transfer
INV-000010,Baku Tech Services,Azerbaijan,2026-05-23,2026-07-07,2026-07-02,673.16,AZN,Procurement,PO-1042,Paid,Bank Transfer
INV-000011,Crescent Facilities,Azerbaijan,2025-12-23,2026-01-22,2026-01-25,2578.56,USD,Finance,PO-1849,Paid,Bank Transfer
INV-000012,Silk Road Consulting,Kazakhstan,2024-06-01,2024-07-31,,441.89,AZN,Procurement,PO-1123,Outstanding,Corporate Card
INV-000013,Euro Energy Solutions,Germany,2024-10-29,2024-11-13,2024-12-12,1708.53,EUR,Finance,PO-1508,Paid,Bank Transfer
INV-000014,Nordic Industrial Parts,Sweden,2025-09-10,2025-11-09,,1021.11,USD,Operations,PO-1024,Outstanding,Bank Transfer
INV-000015,Araz Catering,Azerbaijan,2025-12-01,2025-12-31,,353.13,AZN,Operations,PO-1073,Outstanding,Bank Transfer
INV-000016,Araz Catering,Azerbaijan,2025-10-15,2025-10-30,,2274.72,USD,Human Resources,PO-1843,Outstanding,Bank Transfer
INV-000017,Dijon Business Travel,France,2024-01-25,2024-02-09,2024-02-08,3880.12,EUR,Procurement,PO-1066,Paid,Corporate Card
INV-000018,Caspian Office Supplies,Azerbaijan,2026-05-27,2026-07-26,2026-07-28,595.3,USD,Finance,PO-1818,Paid,Bank Transfer
INV-000019,Silk Road Consulting,Kazakhstan,2025-02-22,2025-04-08,,621.32,AZN,Finance,PO-1890,Outstanding,Bank Transfer
INV-000020,Caucasus Travel Services,Georgia,2024-11-17,2025-01-16,,352.63,AZN,Human Resources,PO-1960,Outstanding,Bank Transfer
INV-000021,Caspian Office Supplies,Azerbaijan,2025-12-23,2026-02-21,2026-03-09,870.53,USD,Procurement,PO-1874,Paid,Corporate Card
INV-000022,Atlas Logistics,Türkiye,2026-06-26,2026-07-26,,1229.06,AZN,Operations,PO-1690,Outstanding,Bank Transfer
INV-000023,Silk Road Consulting,Kazakhstan,2024-07-19,2024-09-02,2024-08-24,696.55,AZN,Operations,PO-1528,Paid,Bank Transfer
INV-000024,Dijon Business Travel,France,2024-01-31,2024-03-31,2024-03-28,802.98,AZN,Human Resources,PO-1117,Paid,Bank Transfer
INV-000025,Caspian Office Supplies,Azerbaijan,2025-06-03,2025-08-02,2025-09-06,5183.46,EUR,IT,PO-1038,Paid,Bank Transfer
INV-000026,Baku Tech Services,Azerbaijan,2026-03-08,2026-04-07,2026-03-27,1357.56,USD,Operations,PO-1298,Paid,Bank Transfer
INV-000027,Silk Road Consulting,Kazakhstan,2026-03-03,2026-05-02,2026-04-18,2196.1,EUR,Procurement,PO-1331,Paid,Bank Transfer
INV-000028,Silk Road Consulting,Kazakhstan,2024-09-06,2024-10-06,2024-10-16,1845.72,AZN,Procurement,PO-1618,Paid,Bank Transfer
INV-000029,Atlas Logistics,Türkiye,2024-10-24,2024-12-23,2024-12-23,247.57,AZN,IT,PO-1612,Paid,Bank Transfer
INV-000030,Caucasus Travel Services,Georgia,2024-06-14,2024-07-14,2024-07-12,2242.48,AZN,HSE,PO-1272,Paid,Bank Transfer
INV-000031,Dijon Business Travel,France,2024-06-15,2024-06-30,2024-08-04,5501.88,AZN,Procurement,PO-1710,Paid,Bank Transfer
INV-000032,Silk Road Consulting,Kazakhstan,2024-11-21,2024-12-21,2024-12-20,160.49,EUR,Operations,PO-1300,Paid,Bank Transfer
INV-000033,Baku Tech Services,Azerbaijan,2024-12-17,2025-01-01,2025-01-27,658.24,USD,IT,PO-1965,Paid,Bank Transfer
INV-000034,Global Safety Equipment,Netherlands,2026-02-08,2026-04-09,2026-04-11,2263.49,AZN,Human Resources,PO-1081,Paid,Bank Transfer
INV-000035,Dijon Business Travel,France,2024-07-15,2024-08-14,2024-09-16,504.4,USD,HSE,PO-1524,Paid,Bank Transfer
INV-000036,Global Safety Equipment,Netherlands,2025-01-12,2025-03-13,2025-03-29,131.61,EUR,HSE,PO-1982,Paid,Corporate Card
INV-000037,Dijon Business Travel,France,2024-05-24,2024-06-23,2024-06-23,642.09,AZN,Procurement,PO-1676,Paid,Bank Transfer
INV-000038,Global Safety Equipment,Netherlands,2025-04-15,2025-05-30,2025-05-30,718.17,EUR,Operations,PO-1020,Paid,Bank Transfer
INV-000039,Euro Energy Solutions,Germany,2025-11-10,2026-01-09,2026-01-29,923.06,EUR,HSE,PO-1149,Paid,Bank Transfer
INV-000040,Crescent Facilities,Azerbaijan,2026-01-24,2026-03-25,,470.68,AZN,Procurement,PO-1275,Outstanding,Bank Transfer
INV-000041,Crescent Facilities,Azerbaijan,2025-06-29,2025-08-28,2025-08-30,732.22,AZN,IT,PO-1212,Paid,Bank Transfer
INV-000042,Nordic Industrial Parts,Sweden,2026-01-07,2026-02-06,2026-02-20,171.23,AZN,Procurement,PO-1484,Paid,Bank Transfer
INV-000043,Blue Horizon Software,United Kingdom,2024-03-14,2024-04-13,,2820.98,AZN,HSE,PO-1456,Outstanding,Corporate Card
INV-000044,Blue Horizon Software,United Kingdom,2025-11-20,2025-12-20,2025-12-07,3766.56,USD,IT,PO-1354,Paid,Bank Transfer
INV-000045,Crescent Facilities,Azerbaijan,2026-06-12,2026-07-27,,405.73,USD,HSE,PO-1202,Outstanding,Corporate Card
INV-000046,Silk Road Consulting,Kazakhstan,2026-04-08,2026-05-08,,822.75,AZN,Operations,PO-1365,Outstanding,Bank Transfer
INV-000047,Blue Horizon Software,United Kingdom,2025-12-25,2026-01-24,2026-01-14,1389.09,AZN,Operations,PO-1166,Paid,Bank Transfer
INV-000048,Baku Tech Services,Azerbaijan,2024-06-04,2024-07-19,2024-07-11,2897.66,AZN,Procurement,PO-1954,Paid,Corporate Card
INV-000049,Euro Energy Solutions,Germany,2025-04-19,2025-06-03,2025-05-19,1460.95,USD,Finance,PO-1641,Paid,Bank Transfer
INV-000050,Araz Catering,Azerbaijan,2025-07-02,2025-07-17,2025-07-13,10697.74,USD,Operations,PO-1719,Paid,Bank Transfer
INV-000051,Atlas Logistics,Türkiye,2024-07-15,2024-09-13,2024-10-13,435.78,AZN,Finance,PO-1653,Paid,Bank Transfer
INV-000052,Silk Road Consulting,Kazakhstan,2025-01-09,2025-02-08,2025-03-05,440.03,EUR,Procurement,PO-1938,Paid,Bank Transfer
INV-000053,Crescent Facilities,Azerbaijan,2026-06-25,2026-07-10,2026-08-13,936.35,AZN,Operations,PO-1173,Paid,Bank Transfer
INV-000054,Baku Tech Services,Azerbaijan,2024-10-03,2024-11-02,2024-11-30,947.94,EUR,Human Resources,PO-1094,Paid,Bank Transfer
INV-000055,Caucasus Travel Services,Georgia,2025-08-20,2025-09-19,2025-10-18,9592.21,AZN,Operations,PO-1871,Paid,Bank Transfer
INV-000056,Caucasus Travel Services,Georgia,2025-12-20,2026-02-18,2026-03-14,1333.42,AZN,IT,PO-1732,Paid,Bank Transfer
INV-000057,Blue Horizon Software,United Kingdom,2024-02-23,2024-03-09,2024-02-28,3879.14,AZN,IT,PO-1414,Paid,Bank Transfer
INV-000058,Blue Horizon Software,United Kingdom,2025-07-14,2025-08-28,2025-09-15,3279.17,USD,IT,PO-1141,Paid,Bank Transfer
INV-000059,Silk Road Consulting,Kazakhstan,2026-06-04,2026-06-19,2026-07-14,1401.85,AZN,Procurement,PO-1158,Paid,Corporate Card
INV-000060,Araz Catering,Azerbaijan,2024-11-06,2024-12-06,2024-11-27,1563.94,USD,Procurement,PO-1355,Paid,Bank Transfer
INV-000061,Caspian Office Supplies,Azerbaijan,2024-02-05,2024-04-05,2024-04-26,871.97,AZN,Finance,PO-1657,Paid,Bank Transfer
INV-000062,Dijon Business Travel,France,2025-01-23,2025-02-22,2025-02-09,1412.85,USD,Human Resources,PO-1208,Paid,Corporate Card
INV-000063,Dijon Business Travel,France,2024-12-15,2025-02-13,2025-02-25,996.69,AZN,Human Resources,PO-1243,Paid,Bank Transfer
INV-000064,Blue Horizon Software,United Kingdom,2025-03-24,2025-05-23,2025-05-10,2037.43,EUR,Human Resources,PO-1067,Paid,Bank Transfer
INV-000065,Global Safety Equipment,Netherlands,2026-02-10,2026-02-25,2026-02-14,1179.08,AZN,HSE,PO-1848,Paid,Bank Transfer
