supplier,invoice_count,invoice_value,overdue_value
Crescent Facilities,428,848514.52,176127.99000000002
Baku Tech Services,445,763906.39,111879.06999999998
Araz Catering,429,761737.5,155068.73
Dijon Business Travel,409,753947.29,148729.75
Euro Energy Solutions,423,750572.35,136413.8
Blue Horizon Software,431,749574.04,125389.28
Global Safety Equipment,417,739596.94,136222.7
Nordic Industrial Parts,415,722144.6,143631.10000000003
Caucasus Travel Services,418,694362.0599999999,104772.35
Atlas Logistics,421,692604.33,115408.4
Silk Road Consulting,396,689261.26,103090.52
Caspian Office Supplies,403,683684.09,129290.32
